                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.90867,                  0.524,                 1.0683,                0.95517,                0.94846,                0.97791,                0.65502,                 1.1861,                0.47989,                  1.214,             0.00083954,             0.00083954,             0.00083954
                    127,                0.91616,                0.49721,                 1.0545,                0.95389,                0.94399,                0.97479,                0.65751,                  1.195,                0.47366,                  1.203,             0.00083482,             0.00083482,             0.00083482
                    128,                0.95402,                0.51709,                 1.0642,                0.92831,                0.93969,                  0.964,                0.65818,                 1.2002,                  0.488,                 1.2038,             0.00083011,             0.00083011,             0.00083011
                    129,                0.93525,                 0.4932,                 1.0566,                0.94394,                0.96715,                0.97846,                0.66086,                 1.1846,                 0.4791,                 1.1878,             0.00082539,             0.00082539,             0.00082539
                    130,                0.95544,                0.50239,                 1.1141,                0.94762,                0.96643,                0.98106,                0.65967,                 1.1791,                0.48243,                 1.1794,             0.00082067,             0.00082067,             0.00082067
                    131,                0.91354,                0.50094,                 1.0647,                0.94801,                0.95474,                0.97573,                0.64542,                 1.2082,                0.48698,                 1.1838,             0.00081596,             0.00081596,             0.00081596
                    132,                0.87888,                0.49747,                 1.0687,                0.95511,                0.96583,                0.98114,                0.65252,                 1.1968,                0.47849,                  1.211,             0.00081124,             0.00081124,             0.00081124
                    133,                0.95332,                 0.5289,                 1.1007,                0.97565,                0.94075,                0.98443,                0.65692,                 1.1917,                0.48754,                  1.211,             0.00080653,             0.00080653,             0.00080653
                    134,                0.90866,                 0.4849,                 1.0577,                0.95738,                0.96114,                0.98291,                0.65526,                 1.2053,                0.50195,                 1.2199,             0.00080181,             0.00080181,             0.00080181
                    135,                0.92884,                0.50654,                 1.0581,                0.94019,                0.95337,                0.97461,                0.64619,                 1.2025,                0.50023,                 1.1989,              0.0007971,              0.0007971,              0.0007971
                    136,                0.90482,                0.48291,                 1.0607,                0.92331,                0.98031,                0.97969,                0.65744,                 1.1979,                0.50618,                 1.2082,             0.00079238,             0.00079238,             0.00079238
                    137,                0.93025,                0.49814,                 1.0655,                0.93917,                0.97623,                0.97697,                0.65012,                 1.1816,                0.50768,                  1.185,             0.00078766,             0.00078766,             0.00078766
                    138,                0.89245,                0.49054,                 1.0546,                 0.9512,                0.96124,                0.98032,                0.65522,                 1.2041,                0.47685,                 1.1886,             0.00078295,             0.00078295,             0.00078295
                    139,                 0.8961,                0.48726,                 1.0719,                0.95573,                0.94287,                0.97655,                0.64774,                  1.231,                0.50247,                 1.2355,             0.00077823,             0.00077823,             0.00077823
                    140,                0.87796,                 0.4795,                 1.0465,                0.96776,                0.94861,                0.97134,                0.64212,                 1.2214,                0.49163,                 1.2265,             0.00077352,             0.00077352,             0.00077352
                    141,                0.94275,                0.51049,                 1.0934,                0.96298,                0.96017,                0.98058,                0.65389,                 1.1824,                0.48767,                 1.1896,              0.0007688,              0.0007688,              0.0007688
                    142,                0.86303,                0.46813,                 1.0403,                0.96004,                0.96033,                0.97361,                0.66674,                 1.1679,                0.48201,                 1.1708,             0.00076409,             0.00076409,             0.00076409
                    143,                0.87754,                0.49231,                 1.0452,                0.93939,                0.96623,                0.96064,                0.66597,                 1.1776,                0.48566,                 1.1755,             0.00075937,             0.00075937,             0.00075937
                    144,                0.91022,                0.49449,                 1.0539,                0.96134,                0.94866,                 0.9767,                  0.663,                 1.1635,                0.50229,                  1.169,             0.00075465,             0.00075465,             0.00075465
                    145,                0.81802,                0.45982,                 1.0218,                0.96891,                0.96159,                0.98059,                  0.665,                 1.1566,                0.47939,                 1.1722,             0.00074994,             0.00074994,             0.00074994
                    146,                0.82903,                0.46679,                0.99246,                0.95311,                0.96237,                0.97774,                0.65813,                 1.1659,                0.48268,                 1.1791,             0.00074522,             0.00074522,             0.00074522
                    147,                0.91404,                0.48736,                  1.059,                0.93543,                0.96544,                 0.9735,                0.65028,                 1.1812,                0.48754,                 1.1778,             0.00074051,             0.00074051,             0.00074051
                    148,                0.93227,                0.50574,                  1.093,                0.95899,                0.94654,                0.95926,                0.63725,                 1.2185,                0.50547,                 1.2329,             0.00073579,             0.00073579,             0.00073579
                    149,                0.87916,                0.47727,                  1.048,                 0.9335,                0.96258,                0.97097,                0.65954,                 1.1894,                 0.5072,                 1.1684,             0.00073108,             0.00073108,             0.00073108
                    150,                 0.8702,                 0.4874,                 1.0384,                0.94771,                0.95073,                0.97244,                0.65606,                 1.2163,                0.49494,                 1.1845,             0.00072636,             0.00072636,             0.00072636
                    151,                0.86301,                0.48753,                  1.047,                0.96035,                 0.9418,                 0.9734,                 0.6514,                 1.1934,                 0.5005,                 1.1683,             0.00072164,             0.00072164,             0.00072164
